Post-nr	Navn	Samtlige husstande	Samtlige - ekskl. Nej tak	Samtlige - ekskl. Nej tak gratisaviser	By	By - ekskl. Nej tak	By - ekskl. Nej tak gratisaviser	Land	Land - ekskl. Nej tak	Land - ekskl. Nej tak gratisaviser	Etager	Etager - ekskl. Nej tak	Etager - ekskl. Nej tak gratisaviser	V/RH	Villa/Række - ekskl. Nej tak	Villa/Række - ekskl. Nej tak gratisaviser	Jordbrug	Jordbrug - ekskl. Nej tak	Jordbrug - ekskl. Nej tak gratisaviser	Kontor	Kontor - ekskl. Nej tak	Kontor - ekskl. Nej tak gratisaviser	Butik	Butik - ekskl. Nej tak	Butik - ekskl. Nej tak gratisaviser	Fri-hus	Fri-hus - ekskl. Nej tak	Fri-hus - ekskl. Nej tak gratisaviser
1 2	Storkøbenhavn	718418	310710	542669	713899	308473	538627	4519	2237	4042	503175	216076	352526	214575	94280	189520	668	354	623	26512	22200	23908	14779	13854	14175	18454	17744	18038
3	Nordsjælland, Bornholm	185649	89814	166033	160830	75835	143205	24819	13979	22828	43715	21365	35547	137602	66047	126377	4332	2402	4109	7174	5866	6665	3269	3010	3152	29879	25658	27621
4	Sjælland, Lolland, Falster, Møn	336254	192106	301031	259304	145003	229738	76950	47103	71293	73660	40039	58654	247000	143020	227591	15594	9047	14786	11672	9447	10711	5751	5261	5532	53332	48377	50714
5	Fyn med omliggende øer	245973	120408	210201	202682	97716	170019	43291	22692	40182	61958	29452	44072	172847	85184	155479	11168	5772	10650	8100	6401	7376	4089	3605	3899	13884	12457	13220
6	Syd-sydvestjylland	295384	158990	263087	233644	123394	205117	61740	35596	57970	63935	33463	49173	217099	117859	200055	14350	7668	13859	9730	7969	9056	4620	4124	4438	31033	28532	29340
7	Midt-nordvestjylland	263398	143139	233953	213422	114783	187434	49976	28356	46519	63323	34896	50269	185295	100110	169546	14780	8133	14138	9818	7944	9019	4838	4272	4584	15475	14243	14711
8	Østjylland, Samsø	452270	215116	374139	384574	179161	312192	67696	35955	61947	163213	79351	117251	273611	127654	242308	15446	8111	14580	16427	13366	14923	7690	6997	7346	21752	19846	20689
9	Nordjylland, Læsø	265767	153817	234202	219704	125604	190604	46063	28213	43598	77201	41964	58528	173536	102939	161143	15030	8914	14531	8439	7098	7904	4495	4073	4362	31282	28790	29858
 	Hele landet	2763113	1384100	2325315	2388059	1169969	1976936	375054	214131	348379	1050180	496606	766020	1621565	837093	1472019	91368	50401	87276	97872	80291	89562	49531	45196	47488	215091	195647	204191
1000-1499	København K	23635	10587	16245	23635	10587	16245	0	0	0	22655	9975	15452	980	612	793	0	0	0	4322	3730	3901	2508	2315	2369	0	0	0
1500-1799	København V	22066	8798	14628	22066	8798	14628	0	0	0	21788	8696	14419	278	102	209	0	0	0	1422	1217	1283	973	912	933	0	0	0
1800-1899	Frederiksberg C	16369	5927	11700	16369	5927	11700	0	0	0	15920	5779	11367	449	148	333	0	0	0	627	484	540	588	539	553	0	0	0
2000	Frederiksberg	39158	14573	26912	39158	14573	26912	0	0	0	36998	13885	25117	2160	688	1795	0	0	0	674	551	598	801	754	769	79	77	77
2100	København Ø	48302	18557	32579	48302	18557	32579	0	0	0	46006	17726	30838	2296	831	1741	0	0	0	1404	1165	1233	960	891	913	399	385	389
2150	Nordhavn	999	738	872	999	738	872	0	0	0	959	721	842	40	17	30	0	0	0	157	142	149	6	6	6	0	0	0
2200	København N	40247	16699	26518	40247	16699	26518	0	0	0	40212	16676	26488	35	23	30	0	0	0	925	788	824	956	914	925	0	0	0
2300	København S	68283	27165	44491	68283	27165	44491	0	0	0	60048	23898	37831	8235	3267	6660	0	0	0	1520	1260	1315	1144	1069	1085	1528	1429	1468
2400	København NV	28802	12823	20069	28802	12823	20069	0	0	0	26453	12040	18125	2349	783	1944	0	0	0	521	444	469	394	384	386	4	4	4
2450	København SV	14434	6604	9970	14434	6604	9970	0	0	0	13778	6333	9430	656	271	540	0	0	0	269	245	255	104	97	101	734	724	729
2500	Valby	28041	12209	20078	28041	12209	20078	0	0	0	23618	10543	16319	4423	1666	3759	0	0	0	585	496	530	479	450	460	143	135	139
2600	Glostrup	12127	5953	10145	12124	5951	10142	3	2	3	6668	3327	5197	5459	2626	4948	0	0	0	892	804	847	246	241	242	1480	1407	1431
2605	Brøndby	10345	5047	8474	10336	5040	8465	9	7	9	6639	3105	5056	3705	1941	3417	1	1	1	694	620	652	113	108	109	1123	1103	1110
2610	Rødovre	18962	8923	15754	18961	8923	15754	1	0	0	10556	4945	8120	8406	3978	7634	0	0	0	760	651	688	362	347	353	840	815	822
2620	Albertslund	12256	6018	10141	12183	5990	10075	73	28	66	3744	1814	2699	8503	4199	7433	9	5	9	423	357	396	99	93	94	0	0	0
2625	Vallensbæk	2588	1355	2228	2572	1347	2214	16	8	14	631	293	449	1950	1059	1772	7	3	7	72	50	60	5	4	4	0	0	0
2630	Taastrup	16607	8757	14328	16271	8578	14025	336	179	303	8142	4474	6620	8412	4254	7660	53	29	48	772	652	713	315	304	311	225	221	224
2635	Ishøj	9589	5395	7933	9287	5241	7655	302	154	278	5559	3145	4313	3989	2229	3581	41	21	39	355	316	329	119	112	113	587	579	584
2640	Hedehusene	5514	3093	4986	5148	2918	4654	366	175	332	1652	948	1365	3771	2096	3535	91	49	86	290	226	249	71	62	67	527	519	525
2650	Hvidovre	24254	11161	19612	24230	11153	19592	24	8	20	13699	6075	10090	10553	5085	9520	2	1	2	926	778	857	246	235	240	671	630	644
2660	Brøndby Strand	5736	3318	4705	5735	3317	4704	1	1	1	3528	2105	2775	2208	1213	1930	0	0	0	78	71	72	49	48	48	1	0	0
2665	Vallensbæk Strand	4067	2059	3321	4064	2056	3318	3	3	3	1952	1027	1461	2115	1032	1860	0	0	0	117	92	103	38	36	36	9	5	8
2670	Greve	15649	8391	13654	15378	8247	13408	271	144	246	3827	2139	3079	11772	6225	10528	50	27	47	592	489	528	243	235	238	70	35	53
2680	Solrød Strand	7464	3660	6266	7390	3620	6200	74	40	66	1560	718	1088	5865	2919	5140	39	23	38	187	135	154	90	86	89	64	38	47
2690	Karlslunde	3718	1987	3324	3525	1895	3144	193	92	180	470	354	419	3208	1616	2866	40	17	39	299	235	260	50	41	48	30	20	24
2700	Brønshøj	21107	9372	15729	21107	9372	15729	0	0	0	15082	7089	10570	6025	2283	5159	0	0	0	238	200	221	274	253	262	110	104	105
2720	Vanløse	17079	7093	12922	17079	7093	12922	0	0	0	13233	5683	9575	3846	1410	3347	0	0	0	295	243	264	317	299	310	1	1	1
2730	Herlev	13726	6068	11473	13639	6032	11392	87	36	81	6341	2733	4657	7384	3334	6815	1	1	1	837	752	795	200	194	198	1147	1118	1122
2740	Skovlunde	5788	2607	4918	5760	2586	4893	28	21	25	3143	1368	2471	2645	1239	2447	0	0	0	231	199	216	68	65	67	1211	1161	1181
